Uso, descricao
alimentício,
aditivos alimentares,
alimentação animal,
melífera,
alimentação de invertebrados,
material diverso,
combustível,
uso social,
veneno para vertebrados,
veneno para não-vertebrados,
medicinal,
uso ambiental,
recurso genético,
